International Friendly (w)	#22:00 Jordan vs Malaysia#https://streaming.cdnx-sportnobar.xyz/live/sd-6Mwe5Q3yCdSeFH3j3T.m3u8
International Friendly	#22:30 Croatia U21 vs Qatar U23#https://streaming.cdnx-sportnobar.xyz/live/sd-6Mwe5Q3y3C9zXpLXrD.m3u8
International Friendly	#00:00 Gibraltar vs British Virgin Islands#https://streaming.cdnx-sportnobar.xyz/live/sd-6Mwe5Ztf3bYcpvYh4q.m3u8
International Friendly U21	#00:00 Turkiye vs Kosovo#https://streaming.cdnx-sportnobar.xyz/live/sd-6Mwe5Q8RTjzwJNsjf3.m3u8
International Friendly	#01:00 Denmark vs Democratic Rep Congo#https://live.666666.zip/live/4541803.m3u8
International Friendly	#01:00 Denmark vs Democratic Rep Congo#https://streaming.cdnx-sportnobar.xyz/live/sd-6Mwe5Hbh9bXge6WPBs.m3u8
International Friendly U21	#01:30 Portugal vs Northern Ireland#https://streaming.cdnx-sportnobar.xyz/live/sd-6Mwe5Q8RThoTRu3pW9.m3u8
International Friendly	#01:45 Netherlands vs Algeria#https://live.666666.zip/live/4512462.m3u8
International Friendly	#01:45 Netherlands vs Algeria#https://streaming.cdnx-sportnobar.xyz/live/sd-6MwcqKMLLt6p115vJR.m3u8
International Friendly	#01:45 Poland vs Nigeria#https://live.666666.zip/live/4528420.m3u8
International Friendly	#01:45 Poland vs Nigeria#https://streaming.cdnx-sportnobar.xyz/live/sd-6Mwdb2Vwk8dLLDCA53.m3u8
International Friendly	#01:45 Luxembourg vs Italy#https://live.666666.zip/live/4541793.m3u8
International Friendly	#01:45 Luxembourg vs Italy#https://streaming.cdnx-sportnobar.xyz/live/sd-6Mwe5HavpmGzj6oFHo.m3u8
International Friendly	#08:00 South Korea vs El Salvador#https://live.666666.zip/live/4541817.m3u8
